Question,Answer,Answer_all_parts_of_the_question,Present_relevant_ideas,Fully_explain_these_ideas,"Support_ideas_with_relevant, specific_examples",Score
Some people think that the only way to judge someone's success in business is by the amount of money they make. is this a true indicator of the success of a business and in what other ways could success in a business be measured?,"Most of the people argued that, earning from business is the real parameter for measuring success in the business and other people argued that, it is not only indicator for judging business achievement. This essay will analyse the both views. To earn profit people start their business. Basically, it is considered the main goal. This goal plays a crucial role to the further steps. Todays world, we measure the sucess on the basis of the earning of the business organisation. For instance, the owner of the TESLA company Alon Musk was the richest man in the world. Last week, but the owner of the Amazon company become the richest person now. This measures done by the basis of their income. By earning profits they gained huge reputation. Money has its own significance in this regards.

while, money plays a crucial role for recognising the success of the business. , brand value and positive repuation also needed. Todays competitive and busy world people are earning money by any means. Lot of people take loan for bank and never back the money to the bank. They declared themselves as bankcrupts. Later, those types of business owner becomes one the richest person in that perticular country. For example, In Bangladesh 2007, owner of BEXIMCO company declared himself as bankcrupts, 12 years later he becomes one of the richest person in Bangladesh. This type of business can not be considered as successful business.

Additionally, positive response from customers as well as creating reputation also necessary. This types of business grow with the positive feed back from customers. For example, XIOAMI company started their business with very less marketing strategies. They had faith on their products. Now they are successful by getting good responses from people.

To sum up, money bran value, and positive reputation needed to be considered as successful business. Good business person earn profit as well as reputation also. ",no,no,yes,yes,6
It is irrefutably true that these days most companies are approaching strategies such as sponsoring sports events to increase their sales.,"It is irrefutably true that these days most companies are approaching strategies such as sponsoring sports events to increase their sales. Some people opine that sports sponsorship is a great marketing tool to promote their products; however, others believe that this trend has tremendous drawbacks. I bolster the former opinion and think that this strategy is not only promoting the company primarily but also providing a platform for passionate players.

To begin with, sports sponsorship is considered as a lucrative industry across the globe. It is worth noting that it gives mutual benefits to both parties. While the company gets a golden opportunity to access a more comprehensive number of audience and increase their sales, sports committees get a chance to use that money to develop infrastructure and help the players financially. For example, Hyundai, who was the main sponsor of the last world cup cricket match, invested billions of monies in sponsoring the event and recorded an accelerated rate of sales turnover after the series. On the other hand, the International Cricket Committee used a larger portion of received money to develop cricket in low - income countries. 
",no,yes,yes,no,6
Some people believe that teenagers should be required to do unpaid community work in their free time.This can benefit teenagers and the community as well? To what extent do you agree or disagree?,"In today's era, volunter work plays an imperative role in society. Some individuals believe that teenagers should have to do unpaid community work during their free time, which will be beneficial for both juveniles and community. I partly agree with this statement and this essay will discuss the reasons to substantiate it in subsequent paragraphs. To commence with, there are plethora of benefits for teenagers by doing volunter work. First and foremost, by doing unpaid work, teenagers will obtain experience, which would help to youngsters in future to achieve their ambitious easily. For instance, number of people who are success in their life always start work in teenage. Thereafter, they become able to achieve their goals by using that experience. Furthermore, this would be great opportunity for adolescents to learn moral and ethical values during doing community work and they could also become socialize with community because when teenagers would have to do work for community, they will interact with different types of people, which will help to overall development of adolescents. To exemplify, recent survey of Guelph University, Canada found that if children improve their communication skills by interacting with different people, then he will become succesful person in their life. On the other hand, by doing volunter work, the education of teenagers can be adversely influenced due to hectic schedule. In addition, sometimes during work, teenagers could also lose their interest in study as well. Therefore, juveniles should not do community work. To recapitulate, it can be concluded that, although there are chance of worse results of unpaid work by teenagers but most probably juveniles will acquire many benefits with community work. 
",no,no,yes,no,5
Crime rate in most countries is often higher in urban areas than in rural areas. why do you think that is? what can be done to reduce crime rate,"It is believed that the number of people committing crime in urban areas is mostly higher than that in rural areas in most countries. While there are various reasons for this problem, some solutions could be taken to reduce the crime rate. The population in cities is increasing dramatically. Therefore, there is fewer job opportunities, accommodation and so on. Because of unemployment and high cost of living in urban areas, people cannot afford even basic necessities such as food and clothing. As a result, these people would turn to crime such as drugs trafficking, robbery or even human trafficking to earn money. The other reason is that the gap between poor and rich people is becoming wider and wider. Social inequalities is increasing as a consequence. Since the poor could not pay the tuition fees for their offsprings to go to school, some of those children would be attracted to using drugs. In short, widening gap between rich and poor also lead to rising criminals. In order to deal with increasing crime rate, government should take strong measures such as punishing offenders severely. Longer sentence could help to deters rising crime. Moreover, government opportunities and local authorities should also create more and more educational opportunities for needy to narrow the rich-poor gap down. Besides, people should give criminals a chance to reintegrate into society after they are released. This will discourage them from committing crime again. ",no,no,yes,no,5
"In some countries, a few people earn extremely high solaries. Some people think that this is good for a country, while others belive that the government should control salaries and limited the amount people can earn.","In many places of the world there are people who like to earn much money and they try to it. However others don’t think like that. That is, they believe that the state should control wages.

Nowadays, it is well konown that good professions require a good salary. Obviously, the reason for this is the development of states and it is that people work on themselves. In other words, highly qualified and talented people should be rewarded with a salary commensurate with their work. Of course, high wages are a sign of a country’s wealth. When the population is rich, so is the government. For instance, high-income people can create businesses and similar jobs to employ other locals. Which in itself will be beneficial both to the people and to the state. I don’t think government should limit vages. because where there are people of the same layer, there will be no development. This situation is also will caus a lot of protests among the people. In my opinion all people should be paid according to their labor.

if we look at world statistics, we can see that the country with the highest salary is the most developed. In turn, changes begin to take place in every area. Higher wages further increase fidelity to employment. In a sense, it also plays a big role in the development of a healthy thinking generation. There is another side to getting a higher salary - the higher the salary, the higher the taxes. One example, the well-known football player Ronaldo earns 31 million EURO and pays 18. 8 million EURO in taxes.

There are millions of people on earth and they are all struggling to survive. It is very difficult to live without good money in an era of rapid development. With that in mind - I don’t think the state should impose restrictions on salaries. And you?",no,yes,yes,yes,6
explanations about why we remember something better than others.,"The professor discusses explanations about why we remember something better than others. She proposes two reasons for it.

First, previous knowledge. In the case of we have previous knowledge about the subject it helps us to remember details easier. The professor provides an example of a classical music concert to illustrate this. Provide a man that is familiar with classical music, for example, he studies classical music, or he listens to lots of classical music. As a result, it's easier for him to recall details about the concert.

Second, unusual characteristics in a subject. When there is an unusual characteristic it's easier for us to remember them. The process provides an example of a big class to illustrate this. After a year we can remember only people that are unusual, tall or immensely smart people.

That’s how the professor explains why we better remember something rather than others. ",Yes,yes,yes,yes,7
"In some countries, owning a home rather than renting one is very important for people. Why might this be the case? Do you think is a positive or negative situation?","Nowadays, Renting a home and owning it is equally popular. In few countries, people think that living in personal home is more important than living in a rented home. This essay will discuss the reasons of owning a home and explain why this situation is a positive for people.

There are two essential reasons of why rented home is not so important. Firstly, Owning a home allows people to build wealth to purchase future homes. As, it becomes investment for lifetime and one can even sell if any unfavorable circumstance arises. For instance, Most of the people in India buy own home for investing. So, Owning home is very important for the purpose of investment and to increase the wealth of a person. Secondly, when you are buying home, one can do exactly what one want to do with it. This means one will have more flexibility to reconstruct or ammend anything which is not comfortable or appealing to a person. Many people like to have a kitchen with more cabinets and dining room in kitchen only. So they easily change anything according to their wish.

In my tenet, buying own home is a positive situation for people. For people who does not have financial problems and can buy a big home without taking any loan, their house is an asset and a positive situation for them. There are many people who decides to live in only one place for lifetime and does not want to migrate to any other country, so for those people renting a home for their whol life can be more expensive than owning a home in that country and creates an overall positive situation.

To conclude, I feel that owning is home is best option than renting a home. This essay discussed some important reasons of purchasing a home it increases positivity for people who buy without loam",no,yes,yes,yes,6
It is quite common for both parents in a family to work. Sometimes this is because they need two salaries to survive whereas other times it is their choice.,"Expenses are increasing day by day for all kind of human requirements like food, accommodation and children education, etc. and living standard is improving due to various technological innovations. So, it has become common for many families to have both parents working. There are two kinds of families having working parents nowadays. Some may choose for having a better life and to make their future financially secured, while another choose because of their financial needs. Recently, from last decade women empowerment has seen a significant improvement. So, Women are sharing equal responsibilities with men in all professions.

I believe that families having both working parents have edge over others in financial perspective. But its impact on children must be recognised first. In families, when parents go to work, children are left at home alone. Some people argue that children become independent and they learn how to manage their selves. In addition, they believe that children who grow up having the support of their relatives in the family make them more social and kind.

On contrary, other believes that both working parents do not give enough attention to children’s development. Thus, children become undisciplined and may go out of hand sometimes. According to them, if one of the parents is earning enough money, then another should concentrate on children’s development. Money is not a serious matter always. Parents should not become too greedy.

There are many examples of both working parents from my friend circle. They are good parents and understand their responsibilities towards their children. So, as a conclusion, I will say it depends on the way of thinking of individuals and the way of interacting with their kids. One should identify own situation and requirements and act accordingly. ",no,yes,yes,no,5
"The most beautiful cities People visit modern cities for various purposes, some for just travelling, some for business reasons and so on.","The most beautiful cities

People visit modern cities for various purposes, some for just travelling, some for business reasons and so on. It is controversial issue which city is the most dazzling and fascinating. However, there are some destinations which are special. From my point of view, taste is personal thing and depend on individuals.

First, when someone asked beautiful city you would tell them about well-known cities such as Paris, London or Rome. Each of them has their individual beauty. For example in Rome it is vivid that you can introduce their old culture and architecture. Paris is city for love and romantic. In London, there are a lot of rainy and cozy days. Of course their famous double-decker bus.

On the contrary, I am eager to spread information about exotic places such as Africa, Kenya. Less people consider exotic plases as beautiful. In Africa you can meet leos, elephants, giraffes outside the cages. They know the real taste of freedom. Culture of Africans is stunning for every terrestrial.

To recapitulate, it is complicated task to choose only one or two city. Our world is full of amazing destinations
",no,no,yes,yes,6
"Computers today can quickly and accurately translate languages, therefore, it is a waste of time to learn a foreign language. To what extent do you agree or disagree?","It is argued that it is time consuming to learn a new language because computers recently have been able to translate various languages extremely fast and precisely. However, In my opinion, I totally disagree with this statement as although these kinds of technologies and apps can slightly help us in life, learning a foreign language is really beneficial for boosting communication skills and making your writing more beautiful.

The first reason why learning a new language is not wasting of time is that it is extremely effective and helpful for improving fluency of speaking. This is to say that there are a number of intonations and rhythms which should be learned to enhance speaking skills so it could be possible to speak like a native speaker. Moreover, although fluent speaking is a little bit difficult, numerous techniques such as shadowing technique would simplify the way of speaking by listening to a podcast and imitating the intonation of the native speaker. For example, there are some fabulous videos, such as TED Talks, which are really worth watching and useful for boosting english language because of it's simple language and conversational exchanges between some friends.

Another reason why I do agree with learning a foreign language is that it raises the quality of your writing. This is because there are lots of collocations, idioms, high level vocabularies and grammars which help you to transmit your emotion and concept better in writing. Conversely, digital translators are not as operational as human being language because they always use the simplest sentences and never apply mentioned items. Moreover, using linking words during writing would be essential for making your writing more cohesive and literal. For instance, annually a lot of students can pass the IELTS examination, which is an international examination test system and extremely authentic among numerous universities, with high score in writing skill because they have gained the ability of how to deal with this language.

In conclusion, I consider that although technology has helped us to do some works easier, such as text translation, certainly it can not be alternative for the ability and knowledge of human being as learning foreign language has a lot of positive effects on speaking and writing skills. ",no,no,yes,yes,6
Increasing the price of petrol is the best way to solve the growing traffic and pollution problems. To what extent do you agree or disagree with the statement? What other measures do you think might be effective?,"Traffic and pollution take place the most important global problems in recent years. An approach argues that the best solution is to rise the price of petrol to reduce and solve these two important problems. From point the of my view, although expensive price may be an effect on reducing the problems, I do not agree that this is the best way and I think other measures are applied for a permanent solution.

Increasing price to solve traffic and pollution problems is not sustainable and effective for people and governments. In terms of people, high prices cause to damage peoples economical structures because people start to spend more amount of their income for their transportation. Besides, selling of cars decreases and this brings about to depression in the car industry. Therefore, the balance of countries' economies is disrupted. Furthermore, study research which is conducted by the United Nations displays that countries which have the highest petrol price have also higher traffic and pollution problems than other countries which apply low price system.

On the other hand, solving traffic and pollution problems requires different measures. One of the fundamental measures is using recyclable fuel for vehicles. To exemplify, increase of the product and use electric cars ensure to considerably decrease air pollution and carbon emission. The second main measure is developing public transportation systems. If the cities and countries have extensive transportation lines, people do not need their personal vehicles. As a result of this, not only the problem of heavy traffic disappear but also it is earned environmental benefits.

In conclusion, increasing the price of petrol will not offer a stable solution for traffic and pollution, hence other measures should be implemented instead of it.",no,yes,yes,no,5.5
"Some people are afraid to leave the house because of crime. Some believe that more can be done to prevent crimes, while others think there is little that can be done. Discuss both views and give your own opinion.","Recently, the crime rate has been increased sharply worldwide. Some people believe that measures must be taken to mitigate this trend, while other think that there is nothing can be done to fix it. I personally agree with the former opinion since if the problem is not addressed soon, both societies and individuals will enocunter adverse consequences. In this essay, I will discuss both opinion along with my personal view.

On one hand, the main reason why some feel that a little can be done to eradicate a crime rate is the economic recession; in other words, most of the countries that suffer from a sharp ctime rate are poor countries. These countries do not have proper educational, health, and justice systems; this leads their citiziens to commit crimes only to provide themselves with basic needs. Thus, it is highly likely that imposing any laws will prevent any crime as the reasons behind are is not defined and solved from the first place. According to a study conducted in Cairo university, 80 % of the convinted criminals do crimes again after getting out of prison. This shows that nothing can be done and it is better to stay at home to avoid getting attacked by a criminal.

In other hand, other and me are completely think that there are several ways that can be used to decrease the crimes phenomenon. Firstly, governments can improve the living standards for the whole society by giving subsides to people in need. An effective solution is train and educate prisoners, who committed minor crimes rather than punishing them. For example, Canada is one of the first countries that have converted crimainls to good society memebers. This is why there are a few number of prisons in this prosperous nation.

In conclusion, it is a fact that the other rate is raising rapidly in the world. Nonetheless, I totally believe that are different actions which can be taken to tackle this issue",no,yes,yes,yes,6
Some people believe that having a conversation on a mobile phone in a public or crowded place should be banned. Others feel that we should be able to talk wherever we like. Discuss both views and give your opinion.,"Numbers of people claim that they feel annoyed by someone who talk loudly by their mobile devices in public or crowded places. It has been an issue of heated debates whether it should be banned, or it is exaggerated step, that violates human rights. In this essay I will discuss both views and state my own position.

Those who support restrictions regarding conversations in crowded places claim that noises can irritate them from important tasks. Since many people are engaged in the activities outside, phone conversation of others can be disturbing. For example, many students in library may get distracted by noises, subsequently they may not able to perform their task with full dedication, which will affect on their grades. It is also may be considered as a disrespect to other people, who wants to be in peace and calm, while they are in a public. Unfortunately, subsequences of it may lead to misunderstandings and frustration.

Meanwhile, opponents of restrictions claim that it is a pure violation of rights of people. This is because phones are beneficial these days, it also can be a lifesaving device, which can solve any emergency cases by one call. For example, pregnant woman can immediately call her family members or 911 in emergency situations, in order to get assistance. Hence, there are cases, where conversations in public places cannot be forbidden, since there is huge risk getting lost of human life and results might be catastrophic.

In conclusion, while there are convincing arguments on whether public telephone conversations should be banned or not, I believe that comfort of other people should not cost a human life. Furthermore, every person should be allowed to communicate with their loved ones as many times as it needed. ",Yes,no,yes,yes,7
"Computers today can quickly and accurately translate languages, therefore, it is a waste of time to learn a foreign language. To what extent do you agree or disagree?","It is argued that it is time-consuming to learn a new language due to the reason that

computers recently have been able to translate various languages extremely quick and precisely. However, In my opinion, I totally disagree with this statement as although these kinds of technologies and apps can slightly assist us in life, learning a foreign language is really beneficial for boosting communication skills and making your writing more stunning.

The first reason why learning a new language is not wasting of time is that it is extremely effective and helpful for improving fluency of speaking. This is to say that there are a number of intonations and rhythms which should be learned to enhance speaking proficiencies and it could be possible to speak like a native speaker. Moreover, although fluent speaking is a little difficult, numerous techniques, such as shadowing technique, would simplify the way of speaking by listening to a podcast and imitating the intonation of the native speaker. For example, there are a number of fabulous videos, such as TED Talks, which are really worth watching and useful for boosting English language because of its simple language and conversational exchanges between a number of friends.

In conclusion, I consider that although technology has assisted us to do some works easier, such as text translation, certainly it can not be alternative for the ability and knowledge of human being as learning foreign language has a lot of positive effects on speaking and writing skills. ",no,yes,yes,yes,7
It is argued that it is time-consuming to learn a new language due to the reason that computers recently have been able to translate various languages extremely quick and precisely.,"It is argued that it is time-consuming to learn a new language due to the reason that

computers recently have been able to translate various languages extremely quick and precisely. However, In my opinion, I totally disagree with this statement as although these kinds of technologies and apps can slightly assist us in life, learning a foreign language is really beneficial for boosting communication skills and making your writing more stunning.

In conclusion, I consider that although technology has assisted us to do some works easier, such as text translation, certainly it can not be alternative for the ability and knowledge of human being as learning foreign language has a lot of positive effects on speaking and writing skills. ",Yes,yes,yes,no,6
"Some people say that the best way to improve public health is by increasing the number of sports facilities. Others, however, say that this would have little effect on public health and that other measures are required. Discuss both these views and give your own opinion.","Public health improvement solutions are so common in societies. Although some people believe that the quantity of sports centres may increase the awareness of people regarding to healthy life, others have opposite opinion as other solutions need to be implemented. This essay will discuss the enhancement of public health and the possible solutions to increase public attendance.

Firstly, the quantity of leisure activity centres makes them easy to access in terms of distance from inhabitant location. The free time is so valuable for people and they would like to use it as efficient as possible so the accessibility to sports centre in a short time is crucial for busy people. For instance, if I had a chance to spend five minutes to get to the sports centre rather than spending an hour, I would definitely feel more motivated and follow activities regularly so the number of areas which are allocated for sports activities may increase the number of attendance.

On the other hand, qualification or expertness of leisure centres have the importance on public health. While the people may want to flexibility of their body, with the lack of expertness, they may hurt some part of their body and have health issue on their life so the selection of sports centres regarding to their capability have importance on people lives and this should be investigated before registration to a centre.

In conclusion, despite the accessibility of sport centre may seem attractive for doing sport activity, it also brings drawbacks as well. It seems to me that we must register a sport centre which provide us professional support. Otherwise the outcome of activity will be worse than not to do it. ",No,no,yes,yes,6
"It is often said that the government spends too much money on the projects of protecting wildlife, while there are other problems that are more important. To what extent do you agree or disagree","Government has a fixed budget and the allocation of the amount has to be done sensibly. Allocating large amount of money for the protection of wildlife is unnecessary overlooking the other major issues which are or much importance. I considerably disagree with this statement.

Wildlife is an extremely important part of human life, to protect and conserve it for the society and for the future generation is the government’s responsibility. Firstly, conserving wild animals and plants will generate tourism for the country which ultimately leads to higher revenue and economic growth. In India, tourism consists of 30% of total revenue, generated in 2019. However, another point into the consideration is that the future generation is yet to see the wildlife which exist. For example, some species such as dinosaurs and other carnivorous animals have already vanished and some, such as white tigers and lions are on the verge of extinction. Allocation of the considerate amount of money to preserve wildlife is justified.

Education and health care are other more important issues for the government to concern. Learning sector improvement will also raise the employment rate and gradually helps in the growth of the country, the employment rate has increased by 12% as compared to the last year’s statistics. However, another major issue is health care which requires more attention, funding the health care system and proving the latest machines and new medicines is the need of an hour. For instance, Higher rate of cancer’s which also needs different treatments at various levels. Government also needs to take into consideration these aspects of the society.

In conclusion, government has a better understanding of how to allocate the funds. To preserve nature is of more importance than the other aspects of the society. ",Yes,yes,yes,yes,7
Exams as A Form of Assessment?,"Nowadays many schools, colleges, and universities assess their students using final examinations. The disadvantage of assessing students by examines is not prospered. In order to, exam brings negative effects to students and the examination does not work on students. On the other hand, the advantages of that help teachers know the capacity of students’ performance.

One of the disadvantages of taking exams as an assessment brings negative effects as causes stress to the students in which prone to exhaustion and illness. to illustrate, when students get unsatisfied results in the exam. A lot of students cannot retain handling this issue for their results. Consequently, a lot of students enter into a depressed state. Furthermore, assessing from exams not considered a real appraisal is because examinations usually test on students’ memory but not their real understandings. For example, some students are meticulous, active, and surpassing in the class but in the exam, they are extremely nervous, thus they cannot answer, they will get low grades. It could also be said that some lazy students who last-minute revision tend to memorize everything on their notes without even trying to understand the principles, and in the end, they get great grades, which is not fair.

Those opposed to this say that teachers will gain more knowledge of their students. To illustrate, the exams help teachers to know more in which the students are weak to improve them more and more and every student have an issue in some subjects and with exams teacher know in which part can he do favors to the students to help them incrementally improving.

In conclusion, take exams as a form of assessment have advantages at given more information about students to their teachers. However, assessing from exams are having disadvantages as can be very stressful and a majority of students usually do worse in normal exams compared to in other forms of assessment. In my opinion, the examination should be replaced with other forms of assessment. I entirely agree to assess students about discussion, self-report, practical work, class activities, and oral presentation. Accordingly, the emphasis should be on envisage how to improve education in students without any lobby for insipid learning and take full credit for study success. ",No,no,yes,yes,7
Some experts believe that it is better for children to begin learning a foreign language at primary school rather than secondary school. Do the advantages of this outweigh the disadvantages?,"As a matter of fact, I believe that the earlier a child starts to begin learning a foreign language the better. Children have a very fresh brain and have the capability to absorb much more information compared with adults and even teenagers.

I can give examples from my own experiences. First of all, I’ve lived abroad during my first ages and started to learn English. Actually, before I learned Turkish, I learned English After seven years living in Saudi Arabia and studying in American Kindergartens and a Primary School, my family decided to return to Turkey. When we moved back to Turkey, I continued my studies at a Turkish Primary School and started to learn Turkish rapidly. Therefore, this showed me how a child could learn a foreign language very quickly.

For the following years, I did not have the opportunity to use my English as frequently as I could when I lived abroad. I only could practice English in my English lessons. However, when I started to work for a global multi-national company years later, I realized that I did not forget my English at all. This also showed me if you learn a language in your childhood, you never forget it.

On the other hand, last year I decided to learn a second foreign language and started to take German lessons. I was attending a course which young pupils were involved. During those lessons I was quite shocked how fast those youngsters understood the lesson and how hard I was struggling.

As a conclusion I definitely agree that the advantages of beginning to learn a foreign language at primary school outweighs the disadvantages.",no,yes,yes,no,5.5
the advantages and disadvantages of freelancing,"Have you ever had that disease to become your own boss and start your own carrier or asked yourself what you wanted to do with your life and who you may ( vocab) be come in the future I bought into some of you have done that but not all of you, in this world (punct) there (Gr) are a lot of different orientation and different niche, business, competency, hopes, and a lot more. However, there is a specific way we have to choice ultimately from freelancing or employees those who had chosen to deal with freelancing side really have to know the advantages and disadvantages of (Gr) become one. (punct)

The advantage of becoming a freelancer is that you can work whenever you want. You get to choose your own hours. you can actually work during your most productive hours, and those hours don’t have to fall in during regular business hours. also freelancing can give you the ability to work wherever you blees, you Keep All the Profits, No longer do you have to work for a flat rate, no matter how large the projects are that you complete. Now, you get to allocate or keep all the profits from your large and small projects and clients. This gives you the freedom to then use that money to improve yourself and expand your business.

The disadvantage of being a freelancer means that your income and your workload are unstable and inconsistent. Distinguishing Between Work and Personal Time means that it can be difficult. This means that you can work long hours and never make time for your personal interests. Being a freelancer to run the risk of not getting paid. This is fairly common in the freelance world hasn’t the benefit of being employs which is the expensive Health benefits. Depending on your current health, starting your own freelance business means you no longer have paid sick days or vacation time to use. Every day you don’t work is a day you won’t get paid.

To sum up; Freelancing means professional freedom, however, it also means instability and the risk of failure. And that may not be what you need in your professional life. But if you risk your stability for something more in tune with your professional goals than a traditional job, you have the opportunity to build your name and reputation and reach your professional goals. ",No,no,yes,no,5.5
"Some people think students should study the science of food and how to prepare it. Others think that school time should be used in learning important subjects. Discuss both views and give your opinion? Give reasons for your answer, and include any relevant examples from your own knowledge or experience.","It is assumed by some people that it is necessary to gain knowledge about food and also learn its making process. On the other hand students should emphasize the essential academic subjects in the school. However, both view have distinguished logic about the necessary learning, I would like to describe both aspects in a sensible way and establish my own thinking.

On the one hand it can be said that as a perfect human being everyone mus learn every necessary skills. The sxcientific explanation of food items is sound relevant topic to learn. Due to the globalization people are becoming familiar with variety of dishes which have different origin and taste. If students can know the science behind that item and what kinds of benefit and drawbacks of this item, they will be able to explain it in a scietific way. Besides learning food making is one of the major things that help people become a good chef. In other word whenever a student go abroad for higher study he must know cooking and previous knowledge can cooperate him to do it in a perfect way. Todays students will become the future leader of a nation thus they should have distinguish knowledge that can make him a good human being.

Onthe other hand it is also important to spend more time to study essential academic outlines because it will help him to get better career opportunity. Most of the people particularly parents focus the career oriented subjects such asmath, Enlish, physics and so on because their chil will become a scientist or doctor or get huge opportunity in oversease. Its obviously necessary for the sake of overall development. A nation expect an expert, competent, skilled young generation whom can bring changes in the country. Consequently every student should learn their major academic learnings since school period. Moreover, school is the fundamenntal place where a student can get the direction of the rest of life.

In my assumption I would like to promote both learnings because to get a successful life people should equally study every branch of knowledge. For example in western countries, a kid can do everything in a hand not only academic study but also extra activities such as making own food, purchaning grocery items from super shop etc. They are independent enough. In addition, to become a self-reliant and overall development student should emphasize both sides equally at the same time.

To sum up it shoul say people have seperate opinion in various issues alike education, despite it everyone should know what is actually essential development of a student. ",No,no,yes,yes,6
Describe a person who has had a special effect in your life.,"The person I would like to describe as someone who has had a specific influence on my life is my friend.

About her appearance, I should say that she is in her late twenties, and she is a happy person who always has a beautiful smiling face.

She has an average build, a fair complexion, and long straight brown hair.

About her special qualities, since she never finds it difficult to be a successful person, she is less likely to fail. She is a very accomplished person with a sizeable number of achievements. Nevertheless, I've never seen that she brags about her successes. So she is humble and modest too.

One of the great personality traits about her that I really look up to is that she never settles for second best. Actually, she tries her best to achieve goals.

Besides owing to her trustworthy and reliable manner, I turn to her when I run into a problem.

Consequently, I've learned a lot from her. I learned how to be positive even in difficult situations, and how to be kind and jolly. ",Yes,yes,yes,no,6
Some people think that art is an essential subject for children at school while others think it is a waste of time. Discuss both sides and give your opinion.,"Educational system in most countries is becoming easier and easier every year. Students may choose limited number of courses and not study maths or science on advanced level; phones are allowed during the lessons; some countries in the world cancelled homework and so on, and so on. . .

A lot of people, especially young learners, find this pace of learning comforting. Their reflections are based on phrases like “Why would a scientist need dates of all the Civil Wars in USA? "", or “Why would an artist need to know ways of logarithms solution? “. And I can partly agree with them.

It’s quite clear that everyone needs to take basic courses including art, math, science, jurisprudence etc.",no,yes,yes,no,5
"Some people believe that money is the most important factor for achieving happiness. However, others believe that happiness has nothing to do with money. Agree or disagree? Give reasons for your answer and include any relevant examples from your own knowledge or experience.","There are two main atitudes toward grafting wealth unto cheerfullness. Some people claim that there is a positive correlation between welfare and gladness, while some individuals deny it. I personality believe that money may sometimes make people satisfied, but wellbeing does not rely on being rich. I will support this view with arguments in the following paragraghs.

Let us take a look at first point. It is true that following exciting sports and eating enriched food and learning requires money. Also, we know a life without being meet the basic needs is gloomy. All thing, according the first idea, humans can not feel goodness without having enough money. For illustrait, the empact of poverty on individuals depression was seen in Africa, in which people die and suffer.

The revers of what were said, l do not think that such reasons are sufficient for

reasonable judgment. A group number of researchers are demonstrated that joyfulness is related to high levels of people self-steem. Which means that, you will be merry, If you be interested in yourself rather than money. Indeed pleasence is a personal choice. Take an some rich people with sever illness as an instance, this issue displays that money can not buy happiness, however he/she could decside to be optemestic. The truth that money boosts the levels of material prosperity, yet it can not purchase healthy, self-respect, wellbeing and in one a word happiness.

In short, even though being wealthy is effectve for being pleasent, it seems that happiness has no dependence on prosperity. ",No,no,yes,no,5
children should be raised with their friends or by themselves,"Raising a kid is a kind of art nowadays. Some families believe in that children will be more developed, If they spend more time with their friends, being a part of particular groups. For all that, some people do not agree with this idea. They firmly believe that children who play or grow up by themselves are better performing for their further lives.

Firstly, Children, those being in a part of a particular group may be more social. It is crucial for us to improve our productivity or develop new skills such as cognitive skills has been helping us since when we were a kid. Children learn novel ideas or abilities from their parents and can transfer them to their friends while they are spending time.

The secondary altercation is about children who are growing up by themselves. It leads them to help to develop their survival-ability skills. Life is hard and families must prepare their children against it. An individual has to do everything by itself it is not firmly knowledge that we will have friends always. They must know how to endure the obstacles when the time comes to face the reality. When they become an adult, they will go through a lot of things such as loneliness.

In my personal point of view, children those raised alone are more success. However, our lives are determinated by our environment, loneliness keeps away our kids to from some bad habits those tend to such as smoking, drugs and alcohol. Families should pander their kids raise them with their loves and should void them to have a bad friends. 
",No,yes,yes,no,6
